sentimen,tweet
positif,Saya bukan mengatakan itu bukan ekonomi makro bos... Tapi jangan jadikan itu sebagai alasan... Nyatanya pertumbuhan perekonomian kita cuma 5% kok.. Terendah... Ya itu memang ekonomi makro... Nah jokowi sudah gagal nih mengelola ekonomi makro.. Ya kan?.. Sudah saat nya di gantiðŸ¤—
netral,"Pada debat tadi malam, capres nomor urut 02 @prabowo sempat menuturkan jika perekonomian Indonesia salah arah, yang ditandai dengan mengalirnya kekayaan ke luar negeri. Temukan kesesuaian pernyataannya berikut ini!  https://bit.ly/2ZcoMADÂ  #CNNIndonesia pic.twitter.com/Tw7YbXHCOh"
negatif,Namanya aja wowo  menuding SBY dibalik semua kesalahan ekonomi Indonesia  https://bit.ly/2Kx8krrÂ  @jokowi @95_teguh #PrabowoSalahkanSBY Jangan di dengerlah si wowo itu
negatif,"Rakyat butuh fundamental ekonomi,yaitu pangan sandang dan papan,bukan digital model mobile legend.timeout for pencitraan."
netral,"Ditanya Soal Esports Oleh Jokowi, Prabowo Minta Sandiaga yang Jawab - IDN Times: Jokowi bertanya soal ekonomi digital esport ke Prabowo  http://dlvr.it/R2mtw9Â  pic.twitter.com/E6RoYiF1pu"
negatif,"Adegan iconik di debat ke 5 Prabowo : Ekonomi kita terpuruk karena ada 1% elite menguasai dan menikmati kekayaan bangsa ini Kyai MA : Apa Bpk termasuk 1% itu? Prabowo : Ya saya yg 1% itu, Oalah..selama ini prabowo lagi ngomongin dirinya sendiri toh, hehehe  #PrabowoSalahkanSBY"
positif,"Saya percaya, krn @prabowo & @sandiuno tlh trbukti, mrk bisa hidup mapan & terhormat. Sangkin mapan & trhormatnya khidupn mrka, gaji pun tak brniat mrka ambil. Mrk jd capres bkn utk mncari kekayaan tp ingin msyarakt indonesia mapan & berhasil sprti mrk. #UASdifitnahKejiDanBrutal https://twitter.com/satriohendri/status/1117081027602554880Â â€¦"
negatif,"Yg gak nyambung itu Jokowi dia gak nyimak masalah game online udah dijawab Sandiaga Uno dan disambung oleh Prabowo masalah game online itu cm hal kecil yg perlu sekarang ini adalah lapangan pekerjaan, meningkatkan kesejahteraan petani, dan menurunkan harga2, Lo tonton lg rekamany"
negatif,"Jangan main fitnah gtu dong,gausah diperlihatkan tangan kaki kalian semua para dungu bergetar takut mendengar pilihan guru kami untuk memilih pak prabowo. Kalian kan sudah didukung oleh ratusan org yg berpengaruh di indonesia,mengapa takut dengan seorang guru ngaji?? :) #saveUAS"
positif,Janji manis para pilpres  â¤ï¸  PKS menang : bebas pajak kendaraan  Prabowo sandi menang : Gaji kerja untuk rakyat miskin  Jokowi menang : Pengangguran Digaji..  Bagaimana kalau mereka di menangkan semua ðŸ˜‚
positif,"Industri sekecil apapun bisa jadi penopang ekonomi,tidak terbengkalai tp industri kita masih blum bisa bersaing karna infrastruktur kita yg tertinggal jauh..makanya adaa prioritas dlm pembangunan tdk akan bisa sekaligus,semua bertahap n hasilnya akan baik.."
negatif,"Sayang sekali pak jokowi tidak membahas ekonomi digital, dan kegunaan multifungi dari e-ktp."
negatif,"Adegan iconik di debat ke 5 Prabowo : Ekonomi kita terpuruk karena ada 1% elite menguasai dan menikmati kekayaan bangsa ini Kyai MA : Apa Bapak termasuk 1% itu? Prabowo : Ya saya yg 1% itu, Oalah..selama ini prabowo lagi ngomongin dirinya sendiri toh, hehehe.."
negatif,Kata prabowo harga dari petani naik tapi harga ke konsumen murah?  Pertanyaan saya untuk menutupi kerugian negara didapat uang darimana?  Masak iya prinsip perdagangan beli mahal jual murah ðŸ˜… sama aja HOAKS wkwk gaada yang namanya pedagang beli mahal jual murah hehe
positif,"Soal bermanfaat utk negara apa ndak...urusan nanti yg penting kalian dpt kerja bagus, gaji gede dan pasti happy. Duit banyak hati happy pasti pikiran kebuka utk invest tuh duit jadi usaha padat karya (buka lap kerja) atau sekalian sedekah ke kaum marjinal.  Selamat berjuang"
positif,"Bukti keikhlasan mengabdi demi Rakyat, Bangsa n Negara. Rela ""mewakafkan"" JIWA, RAGA, HARTA, PIKIRAN tanpa pamrih! Jgnkan yg lain2...rela tdk menerima GAJI sbg Presiden n Wapres. masyaaAllah...inilah PEMIMPIN yg ditunggu2 slm ini! InsyaaAllah berkah...Aamiin @prabowo @sandiuno"
negatif,"kalo kata pak WOWO : Jokowi gak salah kok, yang salah tu SBY soalnya bikin arah ekonomi jd ikut salah #PrabowoSalahkanSBY"
negatif,Jokowi pinter ngeles... Sudah gagal bangun perekonomian pake alasan ekonomi makro.... Bro sekarang masalah nya pertumbuhan perekonomian terendah stuck di 5%... Kok pake alasan ekonomi makro... Emang jaman presiden sebelum nya bukan ekonomi makro.. #jokowipinterngeles
netral,"Jika Menang, Prabowo-Sandi Tak Akan Ambil Gaji Mereka  https://smartcitymakassar.com/2019/04/14/jika-menang-prabowo-sandi-tak-akan-ambil-gaji-mereka/Â â€¦"
negatif,Strategi cebong gampang meneriaki orang lain hoax.. Bilang orang lain pesimis... Ketika prabowo sandi optimis.. Dia ngeles ekonomi makro lah. Apa lah... Zaman pak sby berarti bukan ekonomi makro ya?? Listrik murah kok... Harga2 sembako murah kok.. Pembangunan juga banyak..
negatif,Pak Prabowo aja bilang kehancuran ekonomi gara2 pemimpin terdahulu. Ya hitung aja proporsional masing2 pemimpin terdahulu berkuasa berapa lama? 80% ya orde baru. Sekarang lu minta order baru lagi yg mimpin? Sehat kaw bambanggg?
negatif,"udah miskin mental,miskin harta,miskin harga diri,miskin ilmu. mati ajalah kampret tuh wkwk"
negatif,Namanya aja wowo  salah bowo malah mengatakan pembangunan ekonomi Indonesia salah arah tak terlepas dari andil presiden-presiden sebelum Jokowi  https://bit.ly/2GkwvoWÂ  @jokowi @tasyashee #PrabowoSalahkanSBY Jangan di dengerlah si wowo itu
positif,"Apa yg sudah dutarakan pak sandi sudah drasakan masyarakat, tp pak jkw ngeles , itu kebijakan beliau awal memerintah, ekonomi mikro makro sudah diutarakan oleh pak sandi, pak jkw nya saja yg tidak bisa nangkep"
netral,"Sebelumnya, capres nomor urut 02 Prabowo Subianto menyebut kesalahan ekonomi di Indonesia saat ini terjadi bukan semata karena kesalahan calon presiden petahana Jokowi, tetapi juga salah dari Presiden-presiden terdahulu"
netral,"Perlu kita ingat, bahwa dasar negara kita ideologi kita Pancasaila, NKRI, Bhineka Tunggal Ika, UUD 1945, sudah final. Harga mati dan tidak bisa diganggu gugat. Jokowi"
negatif,"Anak2 disuruh main, calon pekerja dikasih kartu, pengangguran dikasih gaji. TKA dikasih kerja. Mantull!"
negatif,"Namanya aja wowo  salahkan Secara tidak langsung, Bowo menuding pemerintahan era SBY selama 10 tahun turut berdosa atas kondisi perekonomian  https://bit.ly/2GkwvoWÂ  @jokowi @fearlessdiva83 #PrabowoSalahkanSBY Jangan di dengerlah si wowo itu"
positif,"Tentu saja ada pengaruhnya gblk, game itu peluang bisnis, bisa juga menciptakan lapangan kerja. Di jepang, game itu jadi salah satu penggerak ekonominya. Negara bisa ambil pajak yg lumayan itu"
netral,"Jokowi Serang Sandiaga: Ini Ekonomi Makro, Gak Bisa Berdasarkan Keluhan Ibu Ini Ibu Itu...  https://tmblr.co/Zwfxbc2hXWZFcÂ "
negatif,Tolol berlapis nih si MiraProjo....ekonomi bangsa kok lari ke game...hancur generasi klok model kayak gini..pantas indonesia ekonominya berkutet di 5 %...
positif,"Jujur aja ya Pak Prabowo,. Bapak baru koar2 skrg Krn nyapres gak ngambil Gaji 1 rupiah pun. Gw dah kerja 10 Tahun lebih loh, dan gak pernah gw ambil gaji 1 Rupiah. Pak Jokowi tetap terbaik. #JokowiMenangTotalDebat #01ndonesiaMaju"
negatif,Bahas ekonomi sekelas 02 dan wakilnya .Gak faham antara ekonomi mikro . Yg ditemui sandi memang sdh jelas pandangan politik nya .Jadi sdh jelas pandangan nya . Padahal kalo bicara uang 100 ribu dapet aja udah nipu . TDL untuk rakyat miskin 450 watt tdk pernah naik . Sandi bohong
positif,"Ayo k TPS dan Tusuk Prabowo Sandi 02. makin kinclong d hati rakyat ..trus CAPRES N CAWAPRESX TDK AMBIL GAJINYAAAA LHO. D serahkn k  fakir miskin,, kaum duafa dll... Ingat d TPS tusuk02 yaaaaa...Debat pamugkas tadi d mengkan Paslon 02 Prabowo Sandi.  pic.twitter.com/k6eWGigKuL"
negatif,"Rossi, percuma kamu cepat kalau negara kamu masih miskin, harga pangan mahal, listrik mahal, nyari kerja susah, dan keamanan kita hancur, ujar Presiden Italia Prabowo Musolini  https://twitter.com/MotoGP/status/1117152503752269830Â â€¦"
netral,"Menangi Pilpres 2019, Prabowo-Sandi Tak Akan Ambil Gaji #TusukPrabowoSandi http://pantausatu.blogspot.com/2019/04/menangi-pilpres-2019-prabowo-sandi-tak.htmlÂ â€¦"
netral,Janji utk byr pajak menunjukan warga negara yg baik & taat hukum? http://www.suaraislam.co/astaga-pt-kn-milik-prabowo-subianto-tunggak-pajak-rp-26-miliar/Â â€¦
netral,"Berkat Jokowi, rakyat di pedalaman akhirnya punya akses ekonomi yg mudah #JokowiMenangTotalDebat"
positif,THE GREAT CLOSING STATEMENT FROM THE NEXT INDONESIAN LEADERS @Prabowo - @Sandiuno  Kami Berkomitmen Berdua Untuk Tidak Mengambil Gaji Se-Rupiah Pun Jika Kami Mendapatkan Amanah Ini Kami Akan...  https://www.facebook.com/LaluMuhammadBanuFebrianto/videos/2633920356642432/Â â€¦
negatif,"Kartu jokowi, bukti jokowi gagal. Gagal menstabilkan harga cenderung mahal sehingga ada kartu sembako murah, gagal menyediakan lapangan kerja sehingga sehingga keluar kartu prakerja, gagal menyediakan pendidikan terjangkau sehingga muncul kartu pintar. 17april #TusukPrabowoSandi https://twitter.com/republikaonline/status/1117160536095903744Â â€¦"
netral,Prabowo-Sandi Ingin Pangkas Pajak Pekerja agar Tax Ratio Naik  #YourTurnBro  â¦@prabowoâ© â¦@sandiunoâ© https://www.cnnindonesia.com/ekonomi/20190413211609-532-386103/prabowo-sandi-ingin-pangkas-pajak-pekerja-agar-tax-ratio-naikÂ â€¦
positif,1 rupiah pun gaji tidak akan diambil dan akan diberikan kepada negara dan rakyat miskin n dhuafa #prabowo_sandi Jangan ragu lagi
positif,@Jokowi Yakin dan optimis Jokowi bisa menjawab persoalan rakyat terkait ekonomi dan kesejahteraan #JokowiMenangTotalDebat #JokowiMenangTotalDebat
netral,"Prabowo Sebut Kebijakan Ekonomi Salah Presiden Terdahulu, AHY: Kita Harus Objektif #indonesia #merahputih #Sunday #minggu https://merahputih.com/post/read/prabowo-sebut-kebijakan-ekonomi-salah-presiden-terdahulu-ahy-kita-harus-objektifÂ â€¦"
netral,"Jika Terpilih, Prabowo-Sandi Tak Akan Ambil Gaji  http://share.babe.news/s/mUcMddNÂ "
netral,"Jika Terpilih, Prabowo-Sandi Sumbangkan Gaji Buat Fakir Miskin -  http://rmolbanten.comÂ  http://www.rmolbanten.com/read/2019/04/14/7517/Jika-Terpilih,-Prabowo-Sandi-Sumbangkan-Gaji-Buat-Fakir-Miskin-#.XLLCafMzq-8.twitterÂ â€¦"
negatif,Uang dari pajak rakyat dihambur2kan ! 500 artis dibayar pake uang rakyat ! Sudah berbuat curang di Malaysia ! Rezim takut kalah !
negatif,"Seharusnya bahas EKONOMI, Lap pekerjaan.. Mosok sekelas preaident amatiran gtu, atau jngan jangan ðŸ¤”ðŸ¤”ðŸ¤” emang gag ngerti gag kelas lah ðŸ˜‚ðŸ˜‚"
negatif,Narasi nya ngaco. Referensi hanya dari Atta halilintar dan jess no limit. Sama seperti himbauan kumpulin kalajengking karena harga perliter mencapai milyaran. Itu pikiran anak sekolah. Kalo anak anak kita diarahkan untuk menjadi atta atau jess lalu siapa yg tanam padi?
netral,"Prabowo Mau Naikkan Tax Ratio Jadi 16%, Jokowi: Ekonomi Bisa Shock #pilpres2019 #jokowimaruf #prabowosandi #pajak https://www.inews.id/finance/makro/prabowo-mau-naikkan-tax-ratio-jadi-16-jokowi-ekonomi-bisa-shock/515577/?utm_source=Twitter&utm_medium=Social&utm_campaign=socialmediaÂ â€¦"
negatif,"Perbodohan macam apa lagi ini. . .  kebelet bat pen jadi presiden ge, santay ae kali pa  Janji Tak Ambil Gaji Jika Menang Pilpres, Prabowo: Bukti Kita Tulus  http://detik.id/6ceGXIÂ "
netral,"Prabowo-Sandi Komitmen Tak Ambil Gaji Jika Terpilih, Sandiaga: Allah SWT Sudah Baik  #YourTurnBro  â¦@prabowoâ© â¦@sandiunoâ© https://www.wartaekonomi.co.id/read223640/prabowo-sandi-komitmen-tak-ambil-gaji-jika-terpilih-sandiaga-allah-swt-sudah-baik.htmlÂ â€¦"
netral,"Prabowo-Sandi Komitmen Tak akan Ambil Gaji Serupiah Pun jika Terpilih, Mau Dikemanakan Gaji Mereka? -  http://Tribunnews.comÂ  Mobile  #YourTurnBro  â¦@prabowoâ© â¦@sandiunoâ© http://www.tribunnews.com/pilpres-2019/2019/04/14/prabowo-sandi-komitmen-tak-akan-ambil-gaji-serupiah-pun-jika-terpilih-mau-dikemanakan-gaji-merekaÂ â€¦"
positif,Itu bedanya pemimpin dan bukan pemimpin. Pemimpin memecahkan masalah secara makro untuk seluruh rakyat. Pemimpin KW memecahkan masalah berdasarkan keluhan perorangan. Hasilnya seperti TGUPP  DKI yang digaji untuk menyenangkan mereka bukan memecahkan masalah DKI: banjir dan macet.
negatif,"Pak @jokowi, saya ayah dari 2 orang anak dan 1 orang isteri... Numpang curhat, Pak... Kok harga tiket belum turun-turun ini, Pak... Bagaimana ya? Saya saat ini berdomisili di Makassar namun keluarga saya ada di Jakarta... Mohon bantuan, Pak... Apalagi sebentar lagi hari Raya..."
netral,"Menang Pilpres 2019, Prabowo-Sandi Janji Tak Ambil Gaji - Bisnis  http://Tempo.coÂ  #YourTurnBro  â¦@prabowoâ© â¦@sandiunoâ© https://bisnis.tempo.co/read/1195559/menang-pilpres-2019-prabowo-sandi-janji-tak-ambil-gajiÂ â€¦"
netral,ketika pa prabowo dan bang sandi berkampanye banyak masyarakat antusias memberikan sumbangan berupa uang dan lain-lain.makanya jasa baik para masyarakat tersebut dibalas ole pa prabowo dan bang sandi dengan tidak menerima gaji dan disumbangkan kepada masayarakat.
netral,"Seperti Trump, Prabowo-Sandi Janji tak Ambil Gaji  #YourTurnBro  â¦@prabowoâ© â¦@sandiunoâ© https://www.cnbcindonesia.com/news/20190414082213-4-66604/seperti-trump-prabowo-sandi-janji-tak-ambil-gajiÂ â€¦"
negatif,Yg tilil capres lu zer wong presiden ngomongnya game2 khayalan pantes petumbuhan ekonomi jadi menghayal terus.ðŸ™ˆðŸ™ˆ
netral,"Gara-gara Jokowi, Neraca Perdagangan Indonesia Terus Defisit - Warta Ekonomi  https://www.wartaekonomi.co.id/read223671/gara-gara-jokowi-neraca-perdagangan-indonesia-terus-defisit.htmlÂ â€¦"
negatif,"@BhimaYudhistira: Tak Cuma Syok Ekonomi, Tax Ratio Kilat ala @prabowo Keliru  #JokowiMenangTotalDebat https://m.cnnindonesia.com/ekonomi/20190414074014-532-386187/tak-cuma-syok-ekonomi-tax-ratio-kilat-ala-prabowo-keliru?utm_source=twitter&utm_medium=oa&ut"
positif,"setuju bats. mereka yang bilng itu pertanyaan memalukan, gak ngerti2 apa soal ekonomi digital apalagi melalui game interaktif kek dota, ini namanya ngambil peluang ekonomi. Pak jkw ambil peluang itu lewat kemajuan game saat ini. Bego semua yg bilang itu gak faedah"
positif,"Baca sejarah mas bagaimana berdarah darahnya perekonomian China pada saat pembangunan infrastruktur, dimulai tahun berapa dan kemudahan asing berinvestasi dikawasan industrinya, lihat bgmn mrk sekarang. Di sini yang ngaco malah diluar pemerintahannya hadeeeuh"
positif,"Setuju Kang Pemerintah sudah kasih bermacam2 cara dan kemudahan, kalau kitanya gag usaha dan kreatif ya percuma. Aku usaha beras organik lokal, harganya lebih mahal dari beras biasa, kok ya lancar2 aja tuh. pic.twitter.com/ePBIc0rORh"
positif,Prabowo sandi Masalah ekonomi kerakyatan #2019PrabowoSandiMenang #2019PrabowoSubiantoPresidenRI
positif,@Jokowi #JokowiMenangTotalDebat. Pembangunan ekonomi juga dilakukan oleh pemerintah di sektor maritim. Saat ini para nelayan didukung penuh oleh bank mikro dan menjadi tuan rumah di negaranya sendiri. 17 April Coblos Jokowi-KMA #JokowiMenangTotalDebat
negatif,"Tak ambil gaji tpi ambil uang fee proyek,  kkn dan korupsi.  Sok ga mau uang tpi karyawan blm gajan , perusahaan merugi.  Yakin tak ambil gaji  ???"
netral,arah ekonomi indonesia salah presiden sebelum2nya jokowi #PrabowoSalahkanSBY pic.twitter.com/OjfzRFbk4m
positif,"Kesalahan presiden sebelumnya adalah merusak arah ekonomi indonesia, kehebatan adalah jokowi memperbaikinya #PrabowoSalahkanSBY pic.twitter.com/L7eULNwiay"
negatif,"partainya nya aja yg gak bisa menangkap tanda-tanda dari langit,,  udh digituin berkali kali masih juga ngejogrog disitu,, demi segilintir orang yg membenci Jokowi,, mau juga direndahkan harga dirinya,,,"
positif,Gaji bukan tujuan Utama Capres Ini  Tapi duit2 koruptor itu Lho
netral,Dwi Tunggal Pemerintahan @prabowo strategi pertahanan dan keamanan @Sandiuno ekonomi dan kesejahteraan
negatif,"Hahahah goblok ni Adi lihat Subtansi Arah Ekonomi Salah 4,5 tahun ga memperbaiki malah tambah nyungsep salah arah... Dan itu salah kita semua"
negatif,"Uang dari mana bos...hutang tidak, listrik subsidi, bahan bakar subsidi, pangan subsidi, gaji ASN naik, ...apa mau menaikan pajak??? Atau musti nunggu prabowo presiden untuk mendapat jawabannya??? Dapat gelar profesor dimana??"
negatif,"Gak ambil gaji yg cuma beberapa juta, tapi kebijakannya akan alirkan keuntungan Trilyunan rupiah ke perusahaann pribadi nya... Seperti di DKI  JANJI BASI @prabowo @sandiuno"
negatif,Si jae ngajarain ekonomi ke Prabowo Sandi yg sudah kenyang ilmu itu berpuluh tahun.   Dan 02 mesem2.  *moment paling satire  @FaisalBasri SMI dkk apa ga mengigil liat itu?
netral,Daftar Presiden Sebelum Jokowi dan Uraian Singkat Kinerja Ekonomi  https://nasional.tempo.co/read/1195589/daftar-presiden-sebelum-jokowi-dan-uraian-singkat-kinerja-ekonomi?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=dlvritÂ â€¦
positif,"Gua dukung @jokowi, enak banget soalnya, nganggur di gajih terus di suruh main mobile legend ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£"
negatif,"Hahaha coba lihat jokowi gagap, kok ga digembar gemborkan, bicara makro ekonomi harus selaras dg mikro ekonomi kalau tahu betul fokus masalah. Sdhlah ngaku pengalaman nmn tata kelola negara bikin utang bengkak, 2x lipat pemerintahan sebelumnya. Kalau normatif semua orang bisa."
netral,Luar Biasa Benar - benar MantaPS presiden RI periode 2019 - 2024 Prabowo-Sandi Tak Akan Ambil Gaji Sepeser Pun Jika Terpilih  https://kumparan.com/@kumparannews/prabowo-sandi-tak-akan-ambil-gaji-sepeser-pun-jika-terpilih-1qsh5p8XjqeÂ â€¦
positif,"Anak saya kuliah mahal2 buat bikin game dan animasi. Itu profesi yg menjanjikan dan bisa menjadi penopang masa depan. Jangan lembek gitu ah, anak dikuliahin ujung2nya nuntut jadi PNS biar gajian tiap bulan."
positif,"Pada masa pemerintahan Jokowi, laju kenaikan harga relatif terjaga untuk meningkatkan kesejahteraan rakyat.#IndonesiaOptimis #BersatuIndonesia #IndonesiaMaju #JokowiAmin #JokowiSekaliLagi"
positif,"Pernyataan prabowo-sandi tidak mengambil gaji itu sudah pasti, contoh kecilnya saja pak sandi menjabat di dki tidak mengambil gaji sepersen pun. Bukan sebalik nya jual beli jabatan yg jarak nya 1 cm yg kemudian ketangkap karna niatnya salah dari awal."
negatif,Pantesnya kubu sono jadi rt atau max rw aja 200jt penduduk indonesia ditanya pasti jawabnya beda beda mending kita bicara ekonomi makro aja pak pemerataan untuk kebersamaan...amin lanjut 2 periode pak dhe
netral,Pak prabowo berkilah bahwa yang dia maksud bukanlah Jokowi. Yang membuat perekonomian Indonesia salah arah justru pemimpin sebelumnya. Siapa? SBY dong jelasnya #PrabowoSalahkanSBY
positif,"FYI: Digital ekonomi yang di paparkan oleh cawapres 02 juga sudah di lakukan di era pemerintahan @jokowi , jadi solusi apa yang baru yg di tawarkan oleh paslon 02? Saya kira sudah hampir di jalani semuanya apa yang 02 paparkan pada debat final mala ini. #PrabowoSalahkanSBY"
negatif,"Cara menjebak kapabilitas @jokowi kepala dilepas kaki diikat,trlihat jelas bhw kebijakan ekonomi makro yg salah fokus pd cari utang baru& bayar angsuran lama. Shg ekonomi ril mati. Agar parlente munculah mobile legend&e'support  @BappenasRI @BPKPgoid @iai"
positif,Jangan salah pilih ya Ayo datang ke TPS tgl 17 April 2019 Prabowo Sandi Presidennya Pks partainya ðŸ‘†02 president âœ‹ðŸ‘Œ08 Partai PKS Kenapa harus Pks ? Pks akan : 1. Melindungi ulama 2. Sim seumur hidup 3. Pajak motor dihapus 4. Pajak PPh 21 untuk penghasilan dibawah 8 jt di hapus.
positif,Gaji Prabowo-Sandi tidak akan diambil sepeserpun..membuktikan kalau beliau mmg berjuang utk kepentingan rakyat bangsa dan negara.
netral,"Prabowo Sebut Ekonomi RI Menyimpang dari Cita-cita Pendiri Bangsa:  http://Jiromedia.comÂ  -Calon Presiden dan Wakil Presiden Prabowo nomor urut 02, Prabowo-Sandi, mengatakan kondisi ekonomi Indonesia yang saat ini sedang berjalan berada pada arah yangâ€¦  http://dlvr.it/R2mpLKÂ "
negatif,"Jelas salah pemerintah yg membuat hukumnya ga ketat, gw udh contohin td kaya d singapore. Knp? Krn pemerintah d gaji utk itu, itu tugas pemerintah. Bertanggung jawab atas semua yg terjadi pd rakyatnya, kl ga sanggup jgn mau jd pemimpin. Lu paham ga makna pemimpin itu apa?"
positif,"setelah di pikir, prabowo sandi memang ga butuh gaji jd presiden. wong bisnisnya dia aja udah jadi mahal kalo dia jd presidenðŸ˜‚"
positif,"Prabowo sandi  Keren   Gaminta gaji...  Nanti yg bayar Allah aja yah..  ""Semoga harimu menyenangkan""  #YourTurnBro"
positif,Prabowo-Sandi: Tak akan ambil gajinya sepersen pun jika terpilih.   Gaji yang mereka terima akan berikan ke kaum yatim dan dhuafa.  Sungguh mulia hati pemimpin kita ini.. Allahu Akbar..!    https://kumparan.com/@kumparannews/prabowo-sandi-tak-akan-ambil-gaji-sepeser-pun-jika-terpilih-1qsh5p8XjqeÂ â€¦
netral,"Jika Terpilih, Prabowo-Sandi Tak Akan Ambil Gaji Sepeser Pun  https://wp.me/paE6Ul-17QÂ "
negatif,"Kasian, kalian tdk sadar dgn keadaan indonesia seperti ini, kalaian tau tidk kalau @jokowi itu boneka yg di pajang,.... Dtmbah lagi @jokowi yg memang belum bisa jadi pemimpin buktinya hancur ekonomi indonesia,..."
positif,"Pengen bngt dengan programnya Pakde  @jokowi  yg pengguran digaji itu, pen bats nganggur rasanya tu. Adek lelah bekerja bang ðŸ˜…"
negatif,Goblok nya kau emang kebangetan @Dennysiregar7 makanya otak dipakai buat mikir yg manfaat bukan otak di pantat. Sekelas petahana kok mikirin e sport sdg ekonomi aja masih carut marut. Kebanyakan makan tai kau ya?
positif,Masih banyak masalah yg bisa lebih d utamakan soal ekonomi dan penegakan hukum saya rasa prabowo dari awal fokus ke hal2 itu bukan tidak peduli terhadap e-sport melainkan kita punya fokus masalah utama sma seperti jokowi yg dalam pemerintahanya fokus pada infrastruktur.
negatif,BAGAIMANA HIDUP LAGI BAIK SEDANGKAN PAK JOKOWI LEMAH TENTANG ILMU EKONOMI... BIUKTINYA YA... NILAI RUPIAH MENJUNAM...EXPOR SEMAKIN MEROSOT... HARGA SANDANG PANGAN DI MONOPOLI KETURUNAN TIONGHOA....
netral,"Yang sudah pasti itu, pertumbuhan ekonomi Indonesia hanya rata-rata 5% selama dipimpin oleh @jokowi #YourTurnBro @prabowo @sandiuno https://twitter.com/OfficialiNewsTV/status/1117185694990880768Â â€¦"
negatif,"Itu2 lg di ulang,jls beda ekonomi mikro dgn ekonomi makro..."
netral,"Jelas : "" Prabowo dalam debat kelima menyebut persoalan ekonomi dan deindustrialisasi yang menimpa Indonesia Secara khusus Prabowo menyebut itu sebagai kesalahan presiden-presiden sebelumÂ Jokowi """
positif,Lihat cuplikan debat semalam baru tau kalau pemerataan ekonomi bagi2 susu dan makan ke anak SD s/d SMA di tiap pagi.. salut sama pak @prabowo ðŸ‘ðŸ‘ðŸ˜¢ #17Aprilmikir2
netral,"Kesimpulannya perkembangan ekonomi, agraria dan kemaritiman menjadi fokus utama PAS bukan tidak peduli terhadap esport tapi masih ada masalah yg lebih d utamakan sama seperti halnya jokowi yg menomor satukan infrastruktur."
netral,"Allah swt begitu baik pd Prabowo - Sandi yg memberi keluasan kpd kami.  Kami berkomitmen untuk tdk mengambil gaji serupiah pun kami berikan pd negara, kaum yatim & dhuafa.  #minggu #Indonesia #Bogor #banten #jakarta #bandung #cirebon #jabarjuara #jateng #semarang #jogja #bantul pic.twitter.com/HukBxuDwf9"
netral,"AHY meyakini Demokrat tetap berada di koalisi pendukung oposisi meski salah satu pernyataan Prabowo dalam debat kelima Pilpres, dianggap seolah menyalahkan SBY terkait kondisi ekonomi Indonesia saat ini.  https://www.viva.co.id/pemilu/berita-pemilu/1139529-ahy-tidak-mungkin-demokrat-keluar-dari-koalisi-prabowo-sandiÂ â€¦"
negatif,Iye gaji gak diambil... proyek dikuasain kroni..trus kroninya njamin kebutuhan hidup situ dan keluarga.. cuman maen kata2 doang... pemilu depan rakyat planga plongo dijadiin senjata lagi
netral,Era Pemerintahan Jokowi Terjadi Pemerataan Ekonomi   https://www.gesuri.id/pemilu/era-pemerintahan-jokowi-terjadi-pemerataan-ekonomi-b1WexZjhzÂ â€¦ #pdiperjuangan
netral,lah jokowi gaji plus tunjangan malah dibeliin sembako bwt kaum dhuafa
positif,"Mas daniel, malah saya menangkap sebaliknya. Pak Prabowo mengatakan bahwa ini adalah kesalahan kita semua. Dan harus dilakukan langkah perbaikan untuk ekonomi nasional yg salah arah. ðŸ™"
positif,Namnya aja ALAP-ALAP PASTI OTAKNYA JUGA LALAPAN.  BERISIK...  APA SIH SUSAHNYA MENGAKUI DAN MENGHARGAI PEKERJA BAPAK @jokowi . SUDAH JELAS KERJA FAKTA DAN NYATA MASIH BELUM BISA DIAKUI.  INGAT... KEBENCIAN YANG MENDALAM TERGADANG MEMBUAT OTAK LHOOO PINDAH JALUR KE JALUR TAK WARAS
positif,Nyatnaya Pemerinta di Era Jokowi Sangat Mendukung Perkembangan Ekonomi Digital. #17aprilcoblosbajuputih #coblos01JokowiKHMaruf #DaritimurUntukPresidenku #CoblosPutihJokowi #Jokowi2Periode #jokowiAmin pic.twitter.com/iTjrfymb2i
positif,Cadasss bgt deh bang... Gak ambil gaji dan fokus utk mensejahterakan rakyat.. salut bang.. Allah SWT senantiasa merahmatimu bang..  Dari (remah2) ASN ...
positif,"Hargai pendahulu Mu,.. Doakan Penerus Mu,..  the best President RI ever.  CC: Pak Karno, Pak Harto, Pak Habibie, Pak Gusdur, Ibu Mega, Pak Jokowi, Pak Prabowo.  https://twitter.com/ETasdid/status/1117271777363628032Â â€¦"
netral,"Om Bowo dalam debat mengatakan, orientasi ekonomi Indonesia tidak berada di jalur yang benar. Meskipun mengatakan itu, dirinya tidak menyalahkan Jokowi, namun para pemimpin sebelum Jokowi  https://www.suara.com/news/2019/04/13/224020/partai-demokrat-ngamuk-prabowo-dinilai-salahkan-sby-saat-debat-pilpresÂ â€¦ #PrabowoSalahkanSBY"
negatif,"gagasan jokowi smlm didebat, soal ekonomi digital. krn tak mampu bikin ekonomi real, jd bikin game aja.. mobil legenda..! return of esemka.. ðŸ˜…"
